Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,748,0.2,5000,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,38|10.1016/j.chemosphere.2020.126493,1.09,1.64,2.19,0.36,269.28,0.77,579.34,0.15,110.18
drinkingwater,282,0.2,5000,10.1007/s11356-021-13769-x,April_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,101.52,0.77,218.41,0.15,41.54
drinkingwater,267,0.2,5000,10.1007/s11356-021-13769-x,April_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,96.12,0.77,206.8,0.15,39.33
drinkingwater,338,0.2,5000,10.1007/s11356-021-13769-x,May_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,121.68,0.77,261.79,0.15,49.79
drinkingwater,321,0.2,5000,10.1007/s11356-021-13769-x,May_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,115.56,0.77,248.62,0.15,47.28
drinkingwater,388,0.2,5000,10.1007/s11356-021-13769-x,June_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,139.68,0.77,300.51,0.15,57.15
drinkingwater,381,0.2,5000,10.1007/s11356-021-13769-x,June_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,137.16,0.77,295.09,0.15,56.12
drinkingwater,400,0.2,5000,10.1007/s11356-021-13769-x,July_DWTP|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,144,0.77,309.81,0.15,58.92
drinkingwater,405,0.2,5000,10.1007/s11356-021-13769-x,July_Tap|10.1007/s11356-021-13769-x,N/A,1.09,1.64,2.19,0.36,145.8,0.77,313.68,0.15,59.66
drinkingwater,0.2,0.2,5000,10.1016/j.scitotenv.2022.154015,1|10.1016/j.scitotenv.2022.154015,N/A,1.09,1.64,2.19,0.36,0.07,0.77,0.15,0.15,0.03
drinkingwater,20,0.22,5000,10.1016/j.envpol.2020.114227,1|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,7.6,0.79,15.71,0.16,3.3
