DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,PEST,PE,PP,PA,PE_PS,PS,CA,PVC,ER,PAM,PET,PlasticAdditive,PBT,PU,PET_PEST,PAN,Silicone,Acrylic,Vinyl,Vinyon,Other,PA_ER,PTT,PE_PP,PPS,Rayon,PAA,PMPS,PI,Olefin,Styrene_Butadiene,PBA,PMMA,Cellophane,SAN,PC,PDMS,PLA,PTFE,SBR,PET_Olefin,PES,ABS,LDPE,PEVA,AR,PVA,PPE
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,N/A,bottled water,468,particles/L,468,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,N/A,bottled water,30.3,particles/L,30.3,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,N/A,bottled water,156,particles/L,156,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,N/A,bottled water,66.7,particles/L,66.7,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,N/A,bottled water,67.1,particles/L,67.1,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.sciotenv.2018.08.102,WTP1_Treated|10.1016/j.sciotenv.2018.08.178,N/A,tap water,443,particles/L,443,,0.12,0.23,,,,,0.02,,0.16,0.43,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.sciotenv.2018.08.102,WTP2_Treated|10.1016/j.sciotenv.2018.08.178,N/A,tap water,338,particles/L,338,,0.12,0.23,,,,,0.02,,0.16,0.43,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.sciotenv.2018.08.102,WTP3_Treated|10.1016/j.sciotenv.2018.08.178,N/A,tap water,628,particles/L,628,,0.12,0.23,,,,,0.02,,0.16,0.43,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PE|10.1016/j.scitotenv.2021.150545,tap water,610,particles/L,610,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PP|10.1016/j.scitotenv.2021.150545,tap water,1042.6,particles/L,1042.6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_BioTreatment|10.1016/j.scitotenv.2021.150545,A_BioTreatment_PVC|10.1016/j.scitotenv.2021.150545,tap water,560,particles/L,560,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PE|10.1016/j.scitotenv.2021.150545,tap water,1186,particles/L,1186,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PP|10.1016/j.scitotenv.2021.150545,tap water,1489,particles/L,1489,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Sedimentation|10.1016/j.scitotenv.2021.150545,A_Sedimentation_PVC|10.1016/j.scitotenv.2021.150545,tap water,100.4,particles/L,100.4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PE|10.1016/j.scitotenv.2021.150545,tap water,353.2,particles/L,353.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PP|10.1016/j.scitotenv.2021.150545,tap water,1721.2,particles/L,1721.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Ozonation|10.1016/j.scitotenv.2021.150545,A_Ozonation_PVC|10.1016/j.scitotenv.2021.150545,tap water,650,particles/L,650,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PE|10.1016/j.scitotenv.2021.150545,tap water,271.2,particles/L,271.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PP|10.1016/j.scitotenv.2021.150545,tap water,200.5,particles/L,200.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_BAC|10.1016/j.scitotenv.2021.150545,A_BAC_PVC|10.1016/j.scitotenv.2021.150545,tap water,200.5,particles/L,200.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PE|10.1016/j.scitotenv.2021.150545,tap water,62.7,particles/L,62.7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
