Source,concentration
River Reported,0.00675
River Reported,0.01769
River Reported,0.00169
River Reported,0.00153
River Reported,0.00094
River Reported,0.00131
River Reported,1.00E-04
River Reported,7.00E-05
River Reported,2.00E-05
River Reported,2.00E-05
River Reported,1.00E-05
River Reported,2.00E-05
River Reported,2.00E-05
River Reported,1.00E-05
River Reported,1.00E-05
River Reported,0
River Reported,1.00E-05
River Reported,3.00E-05
River Reported,0.00018
River Reported,0.00886
River Reported,0.00057
River Reported,0.00117
River Reported,0.00124
River Reported,0
River Reported,0.00336
River Reported,0.00128
River Reported,0.00096
River Reported,0.00066
River Reported,0.00082
River Reported,0.00038
River Reported,0.00213
River Reported,0.0044
River Reported,0.00149
River Reported,6.00E-04
River Reported,0.0012
River Reported,0.0011
River Reported,0.00428
River Reported,0.00682
River Reported,0.00045
River Reported,0.00094
River Reported,0.00033
River Reported,0.00068
River Reported,0.00124
River Reported,0.00148
River Reported,0.00306
River Reported,0.00186
River Reported,0.00865
River Reported,0.00101
River Reported,0.00283
River Reported,0.0027
River Reported,0.00108
River Reported,0.00044
River Reported,0.00137
River Reported,0.00494
River Reported,0.00331
River Reported,0.00266
River Reported,0.00029
River Reported,11.5
River Reported,5.1
River Reported,4.9
River Reported,4.8
River Reported,4.2
River Reported,4
River Reported,3.9
River Reported,3.8
River Reported,3.8
River Reported,3.8
River Reported,3.6
River Reported,3.1
River Reported,3.1
River Reported,3.1
River Reported,2.7
River Reported,2.7
River Reported,2.5
River Reported,2.5
River Reported,2.4
River Reported,2.4
River Reported,2.4
River Reported,0.559
River Reported,0.552
River Reported,0.538
River Reported,0.536
River Reported,0.526
River Reported,0.518
River Reported,0.518
River Reported,0.517
River Reported,0.493
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,0.013701
River Reported,0.009492
River Reported,0.004844
River Reported,0.00479
River Reported,0.0047
River Reported,0.00443
River Reported,0.003654
River Reported,0.0035
River Reported,0.002925
River Reported,0.002531
River Reported,0.002278
River Reported,0.002132
River Reported,0.001934
River Reported,0.001444
River Reported,0.001442
River Reported,0.001434
River Reported,0.001386
River Reported,0.001294
River Reported,0.001271
River Reported,0.001094
River Reported,0.00098
River Reported,0.000832
River Reported,0.000611
River Reported,0.000556
River Reported,0.00054
River Reported,0.000525
River Reported,0.000246
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,NA
River Reported,0.01122
River Reported,0.00539
River Reported,8.00E-04
River Reported,0
River Reported,0.0066
River Reported,0.00253
River Reported,0.01028
River Reported,0.00296
River Reported,0.00373
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.00437
River Reported,0.00592
River Reported,0.00093
River Reported,0.00048
River Reported,0.00314
River Reported,6.5
River Reported,7
River Reported,2
River Reported,2
River Reported,12
River Reported,22
River Reported,8
River Reported,1.5
River Reported,1
River Reported,3
River Reported,8
River Reported,13
River Reported,24
River Reported,6
River Reported,8
River Reported,10
River Reported,4
River Reported,16
River Reported,0.00053
River Reported,0.00201
River Reported,5.00E-04
River Reported,0.00026
River Reported,0.00013
River Reported,0.00066
River Reported,0.00049
River Reported,0.00047
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,2.4
River Reported,2.4
