DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,morphologydirty,fiber,foams,films,fragments,pellets,foam,line,film,fibers,beads,spheres,spherical,other,styrofoam,sheets,polystyrene,extruded polystyrene,fragment
doi.org/10.1016/j.envpol.2018.06.033,Net20|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.094,particles/m3,0.001094,0.573 fibers/m3; 0.287 films/m3; 0.573 beads/m3,,,0.200279135,,,,,,0.399860433,0.399860433,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net3|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),0.98,particles/m3,0.00098,0.653 fibers/m3; 0.218 fragments/m3; 0.109 films/m3,,,0.11122449,0.22244898,,,,,0.666326531,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net16|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),2.132,particles/m3,0.002132,0.807 fibers/m3; 2.422 fragments/m3; 1.615 films/m3,,,0.333402147,0.5,,,,,0.166597853,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net13|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.386,particles/m3,0.001386,0.945 fibers/m3; 0.472 fragments/m3; 11.811 films/m3; 0.472 spheres/m3,,,0.862116788,0.034452555,,,,,0.068978102,,0.034452555,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net14|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),13.701,particles/m3,0.013701,1.017 fibers/m3; 0.254 films/m3,,,0.199842644,,,,,,0.800157356,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net8|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.442,particles/m3,0.001442,1.437 fibers/m3; 3.353 fragments/m3,,,,0.7,,,,,0.3,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net17|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),4.844,particles/m3,0.004844,1.450 fibers/m3; 0.483 fragments/m3,,,,0.249870667,,,,,0.750129333,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net23|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),4.7,particles/m3,0.0047,2.192 fibers/m3; 0.731 beads/m3,,,,,,,,,0.749914471,0.250085529,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net21|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.434,particles/m3,0.001434,2.215 fibers/m3; 0.316 fragments/m3,,,,0.124851837,,,,,0.875148163,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net26|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),3.654,particles/m3,0.003654,2.332 fibers/m3; 0.583 fragments/m3; 0.583 beads/m3,,,,0.166666667,,,,,0.666666667,0.166666667,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net24|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),2.925,particles/m3,0.002925,3.408 fibers/m3; 0.341 fragments/m3; 0.341 films/m3; 0.341 beads/m3,,,0.076957797,0.076957797,,,,,0.769126608,0.076957797,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net25|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),4.43,particles/m3,0.00443,3.654 fibers/m3,,,,,,,,,1,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net22|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),2.531,particles/m3,0.002531,3.845 fibers/m3; 0.855 fragments/m3,,,,0.181914894,,,,,0.818085106,,,,,,,,,
doi.org/10.1016/j.envpol.2018.06.033,Net11|doi.org/10.1016/j.envpol.2018.06.033,N/A,River water (net sample),1.294,particles/m3,0.001294,7.594 fibers/m3; 0.633 fragments/m31.266 films/m3,,,0.791885115,0.016032216,,,,,0.192335942,,,,,,,,,
doi.org/10.1021/es503610r,upstream|doi.org/10.1021/es503610r,N/A,River water,1.94,particles/m3,0.00194,fragments 0.73 particle/m3; pellets 0 particle/m3; styrofoam 0% particle/m3; fibers 1.21 particle/m3,,,,0.37628866,,,,,0.62371134,,,,,,,,,
doi.org/10.1021/es503610r,downstream|doi.org/10.1021/es503610r,N/A,River water,17.93,particles/m3,0.01793,fragments 6.65 particle/m3; pellets 0.45 particle/m3; styrofoam 0.25 particle/m3; fibers 10.57 particle/m3,,,,0.37109375,0.025111607,,,,0.58984375,,,,,0.013950893,,,,
