material,material_raw,count
PE,polyester,0.24
PE,polyester,0.24
PE,polyester,0.24
PE,polyester,0.24
PE,polyester,0.18
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.16
PE,polyester,0.14
PE,polyester,0.14
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.12
PE,polyester,0.02
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PE,polyester,0
PP,polypropylene,0.46
PP,polypropylene,0.204
PP,polypropylene,0.196
PP,polypropylene,0.192
PP,polypropylene,0.168
PP,polypropylene,0.16
PP,polypropylene,0.156
PP,polypropylene,0.152
PP,polypropylene,0.152
PP,polypropylene,0.152
PP,polypropylene,0.144
PP,polypropylene,0.124
PP,polypropylene,0.124
PP,polypropylene,0.124
PP,polypropylene,0.108
PP,polypropylene,0.108
PP,polypropylene,0.1
PP,polypropylene,0.1
PP,polypropylene,0.096
PP,polypropylene,0.096
PP,polypropylene,0.096
PP,polypropylene,0.096
PP,polypropylene,0.096
PP,polypropylene,0.096
PP,polypropylene,0.092
PP,polypropylene,0.092
PP,polypropylene,0.092
PP,polypropylene,0.084
PP,polypropylene,0.072
PP,polypropylene,0.064
PP,polypropylene,0.064
PP,polypropylene,0.064
PP,polypropylene,0.064
PP,polypropylene,0.06
PP,polypropylene,0.06
PP,polypropylene,0.06
PP,polypropylene,0.06
PP,polypropylene,0.06
PP,polypropylene,0.06
PP,polypropylene,0.06
PP,polypropylene,0.052
PP,polypropylene,0.048
PP,polypropylene,0.048
PP,polypropylene,0.048
PP,polypropylene,0.048
PP,polypropylene,0.048
PP,polypropylene,0.036
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.032
PP,polypropylene,0.028
PP,polypropylene,0.028
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.024
PP,polypropylene,0.004
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
PP,polypropylene,0
CA,cellulose,15.75
CA,cellulose,9
CA,cellulose,45
