study_media,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,correction_factor_upper,corrected_concentration_lower,corrected_concentration_upper
freshwatersurface,0.03,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 2.3,N/A,,2.64,,90180.1,2705.403,84272.38984,96504.08711,2528.171695,2895.122613
freshwatersurface,0.022,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 3.5,N/A,,2.64,,90180.1,1983.9622,84272.38984,96504.08711,1853.992576,2123.089916
freshwatersurface,0.018,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 1.3,N/A,,2.64,,90180.1,1623.2418,84272.38984,96504.08711,1516.903017,1737.073568
freshwatersurface,0.007,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 1.5,N/A,,2.64,,90180.1,631.2607,84272.38984,96504.08711,589.9067288,675.5286098
freshwatersurface,0,1000,4750,doi.org/10.5894/rgci194,doi.org/10.5894/rgci194 | 2.5,N/A,,2.64,,90180.1,0,84272.38984,96504.08711,0,0
freshwatersurface,8.00E-04,335,5000,doi.org/10.1021/acs.est.9b03850,doi.org/10.1021/acs.est.9b03851 | 1.2 ,N/A,,2.64,,14004.34,11.203472,13217.68394,14837.95482,10.57414716,11.87036386
freshwatersurface,8.00E-04,335,5000,doi.org/10.1021/acs.est.9b03850,doi.org/10.1021/acs.est.9b03852 | 1.3 ,N/A,,2.64,,14004.34,11.203472,13217.68394,14837.95482,10.57414716,11.87036386
freshwatersurface,8.00E-04,335,5000,doi.org/10.1021/acs.est.9b03850,doi.org/10.1021/acs.est.9b03853 | 1.4,N/A,,2.64,,14004.34,11.203472,13217.68394,14837.95482,10.57414716,11.87036386
freshwatersurface,0.0122,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 14.1,N/A,,2.64,,15420.02,188.124244,14545.77158,16346.9694,177.4584133,199.4330267
freshwatersurface,0.0122,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 14.2,N/A,,2.64,,15420.02,188.124244,14545.77158,16346.9694,177.4584133,199.4330267
freshwatersurface,0.0122,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 14.3,N/A,,2.64,,15420.02,188.124244,14545.77158,16346.9694,177.4584133,199.4330267
freshwatersurface,0.0122,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 14.4,N/A,,2.64,,15420.02,188.124244,14545.77158,16346.9694,177.4584133,199.4330267
freshwatersurface,0.0103,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 23.1,N/A,,2.64,,15420.02,158.826206,14545.77158,16346.9694,149.8214473,168.3737849
freshwatersurface,0.0103,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 26.2,N/A,,2.64,,15420.02,158.826206,14545.77158,16346.9694,149.8214473,168.3737849
freshwatersurface,0.0103,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 26.3,N/A,,2.64,,15420.02,158.826206,14545.77158,16346.9694,149.8214473,168.3737849
freshwatersurface,0.0102,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 15.1,N/A,,2.64,,15420.02,157.284204,14545.77158,16346.9694,148.3668701,166.7390879
freshwatersurface,0.0102,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 15.2,N/A,,2.64,,15420.02,157.284204,14545.77158,16346.9694,148.3668701,166.7390879
freshwatersurface,0.0102,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 15.3,N/A,,2.64,,15420.02,157.284204,14545.77158,16346.9694,148.3668701,166.7390879
freshwatersurface,0.0071,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 7.1,N/A,,2.64,,15420.02,109.482142,14545.77158,16346.9694,103.2749782,116.0634828
freshwatersurface,0.0071,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 7.2,N/A,,2.64,,15420.02,109.482142,14545.77158,16346.9694,103.2749782,116.0634828
freshwatersurface,0.0071,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 7.3,N/A,,2.64,,15420.02,109.482142,14545.77158,16346.9694,103.2749782,116.0634828
freshwatersurface,0.0071,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 7.4,N/A,,2.64,,15420.02,109.482142,14545.77158,16346.9694,103.2749782,116.0634828
freshwatersurface,0.007,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 10.1,N/A,,2.64,,15420.02,107.94014,14545.77158,16346.9694,101.8204011,114.4287858
freshwatersurface,0.007,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 |10.2,N/A,,2.64,,15420.02,107.94014,14545.77158,16346.9694,101.8204011,114.4287858
freshwatersurface,0.007,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 10.3,N/A,,2.64,,15420.02,107.94014,14545.77158,16346.9694,101.8204011,114.4287858
freshwatersurface,0.0055,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 6.1,N/A,,2.64,,15420.02,84.81011,14545.77158,16346.9694,80.00174369,89.90833172
freshwatersurface,0.0055,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 6.2,N/A,,2.64,,15420.02,84.81011,14545.77158,16346.9694,80.00174369,89.90833172
freshwatersurface,0.0055,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 6.3,N/A,,2.64,,15420.02,84.81011,14545.77158,16346.9694,80.00174369,89.90833172
freshwatersurface,0.0055,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 6.4,N/A,,2.64,,15420.02,84.81011,14545.77158,16346.9694,80.00174369,89.90833172
freshwatersurface,0.0041,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 27.1,N/A,,2.64,,15420.02,63.222082,14545.77158,16346.9694,59.63766348,67.02257456
freshwatersurface,0.0041,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 27.2,N/A,,2.64,,15420.02,63.222082,14545.77158,16346.9694,59.63766348,67.02257456
freshwatersurface,0.0041,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 27.3,N/A,,2.64,,15420.02,63.222082,14545.77158,16346.9694,59.63766348,67.02257456
freshwatersurface,0.004,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 13.1,N/A,,2.64,,15420.02,61.68008,14545.77158,16346.9694,58.18308632,65.38787762
freshwatersurface,0.004,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 13.2,N/A,,2.64,,15420.02,61.68008,14545.77158,16346.9694,58.18308632,65.38787762
freshwatersurface,0.004,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 |13.3,N/A,,2.64,,15420.02,61.68008,14545.77158,16346.9694,58.18308632,65.38787762
freshwatersurface,0.004,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 13.4,N/A,,2.64,,15420.02,61.68008,14545.77158,16346.9694,58.18308632,65.38787762
freshwatersurface,0.0037,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 3.1,N/A,,2.64,,15420.02,57.054074,14545.77158,16346.9694,53.81935485,60.4837868
freshwatersurface,0.0037,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 3.2,N/A,,2.64,,15420.02,57.054074,14545.77158,16346.9694,53.81935485,60.4837868
freshwatersurface,0.0037,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 3.3,N/A,,2.64,,15420.02,57.054074,14545.77158,16346.9694,53.81935485,60.4837868
freshwatersurface,0.0037,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 3.4,N/A,,2.64,,15420.02,57.054074,14545.77158,16346.9694,53.81935485,60.4837868
freshwatersurface,0.0034,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 12.1,N/A,,2.64,,15420.02,52.428068,14545.77158,16346.9694,49.45562337,55.57969597
freshwatersurface,0.0034,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 12.2,N/A,,2.64,,15420.02,52.428068,14545.77158,16346.9694,49.45562337,55.57969597
freshwatersurface,0.0034,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 12.3,N/A,,2.64,,15420.02,52.428068,14545.77158,16346.9694,49.45562337,55.57969597
freshwatersurface,0.0034,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 12.4,N/A,,2.64,,15420.02,52.428068,14545.77158,16346.9694,49.45562337,55.57969597
freshwatersurface,0.0033,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 28.1,N/A,,2.64,,15420.02,50.886066,14545.77158,16346.9694,48.00104622,53.94499903
freshwatersurface,0.0033,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 28.2,N/A,,2.64,,15420.02,50.886066,14545.77158,16346.9694,48.00104622,53.94499903
freshwatersurface,0.0033,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 28.3,N/A,,2.64,,15420.02,50.886066,14545.77158,16346.9694,48.00104622,53.94499903
freshwatersurface,0.0033,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 28.4,N/A,,2.64,,15420.02,50.886066,14545.77158,16346.9694,48.00104622,53.94499903
freshwatersurface,0.0026,355,5000,doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 18.1,N/A,,2.64,,15420.02,40.092052,14545.77158,16346.9694,37.81900611,42.50212045
