DOI,Sample_ID,Subsample_ID,cleaned_material,material,material_ratio,Source,normalized_particle.L_concentration,corrected_concentration,material_particle.L_reported,material_particle.L_corrected
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,36|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,374,134.64,99.858,35.94888
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,37|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,249,89.64,66.483,23.93388
10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,38|10.1016/j.chemosphere.2020.126493,PE,PE,0.267,drinkingwater,748,269.28,199.716,71.89776
10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,N/A,PE,PE,0.134553283,drinkingwater,930,353.4,125.1345532,47.55113021
10.1016/j.scitotenv.2021.148001,TCQS|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.4,0.4,0.0176,0.0176
10.1016/j.scitotenv.2021.148001,SHN|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.51,0.51,0.02244,0.02244
10.1016/j.scitotenv.2021.148001,CHQ|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.51,0.51,0.02244,0.02244
10.1016/j.scitotenv.2021.148001,CHH|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.55,0.55,0.0242,0.0242
10.1016/j.scitotenv.2021.148001,ZHB|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.6,0.6,0.0264,0.0264
10.1016/j.scitotenv.2021.148001,DAS|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.605,0.605,0.02662,0.02662
10.1016/j.scitotenv.2021.148001,XHS|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.63,0.63,0.02772,0.02772
10.1016/j.scitotenv.2021.148001,HNZ|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.75,0.75,0.033,0.033
10.1016/j.scitotenv.2021.148001,TCH|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.56,0.56,0.02464,0.02464
10.1016/j.scitotenv.2021.148001,WHH|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.6,0.6,0.0264,0.0264
10.1016/j.scitotenv.2021.148001,Spr|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.39,0.39,0.01716,0.01716
10.1016/j.scitotenv.2021.148001,Sum|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.36,0.36,0.01584,0.01584
10.1016/j.scitotenv.2021.148001,Aut|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.75,0.75,0.033,0.033
10.1016/j.scitotenv.2021.148001,Win|10.1016/j.scitotenv.2021.148001,N/A,PE,PE,0.044,drinkingwater,0.54,0.54,0.02376,0.02376
http://dce2.au.dk/pub/SR291.pdf ,7|http://dce2.au.dk/pub/SR291.pdf ,N/A,PP,PP,0.1,drinkingwater,0.2,1.396,0.02,0.1396
http://dce2.au.dk/pub/SR291.pdf ,15|http://dce2.au.dk/pub/SR291.pdf ,N/A,PP,PP,0.05,drinkingwater,0.38,2.6524,0.019,0.13262
10.1016/j.watres.2017.11.011,1|10.1016/j.watres.2017.11.011,N/A,PP,PP,0.01,drinkingwater,14,28.42,0.14,0.2842
10.1016/j.watres.2017.11.011,2|10.1016/j.watres.2017.11.011,N/A,PP,PP,0.07,drinkingwater,118,239.54,8.26,16.7678
10.1016/j.watres.2017.11.011,3|10.1016/j.watres.2017.11.011,N/A,PP,PP,0.08,drinkingwater,50,101.5,4,8.12
10.1016/j.watres.2017.11.011,4|10.1016/j.watres.2017.11.011,N/A,PP,PP,0.26,drinkingwater,11,22.33,2.86,5.8058
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,37.1,48.23,20.034,26.0442
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,705,916.5,380.7,494.91
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,404,525.2,218.16,283.608
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,252,327.6,136.08,176.904
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,174,226.2,93.96,122.148
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,826,1073.8,446.04,579.852
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,213,276.9,115.02,149.526
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,3.72,4.836,2.0088,2.61144
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,165,214.5,89.1,115.83
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,74.6,96.98,40.284,52.3692
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,686,891.8,370.44,481.572
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,20,26,10.8,14.04
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,37.3,48.49,20.142,26.1846
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,197,256.1,106.38,138.294
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,58.2,75.66,31.428,40.8564
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,1410,1833,761.4,989.82
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,204,265.2,110.16,143.208
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,PP,PP,0.54,drinkingwater,40.1,52.13,21.654,28.1502
