DOI,Sample_ID,Subsample_ID,cleaned_morphology,morphology,morph_ratio,Source,normalized_particle.L_concentration,corrected_concentration,morph_particle.L_reported,morph_particle.L_corrected
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,165,214.5,21.45,27.885
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,74.6,96.98,9.698,12.6074
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,686,891.8,89.18,115.934
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,20,26,2.6,3.38
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,37.3,48.49,4.849,6.3037
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,197,256.1,25.61,33.293
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,58.2,75.66,7.566,9.8358
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,1410,1833,183.3,238.29
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,204,265.2,26.52,34.476
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,40.1,52.13,5.213,6.7769
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,12.5,16.25,1.625,2.1125
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,150,195,19.5,25.35
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,2277,2960.1,296.01,384.813
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,49.3,64.09,6.409,8.3317
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,468,608.4,60.84,79.092
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,30.3,39.39,3.939,5.1207
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,156,202.8,20.28,26.364
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,66.7,86.71,8.671,11.2723
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,N/A,Fiber,Fiber,0.13,drinkingwater,67.1,87.23,8.723,11.3399
10.3390/w12113115,drinking_water|10.3390/w12113115,N/A,Fiber,Fiber,0.802,drinkingwater,105.8,371.358,84.8516,297.829116
10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,N/A,Fiber,Fiber,0.666666667,drinkingwater,930,353.4,620.0000003,235.6000001
10.1016/j.scitotenv.2021.148001,TCQS|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.4,0.4,0.36284,0.36284
10.1016/j.scitotenv.2021.148001,SHN|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.51,0.51,0.462621,0.462621
10.1016/j.scitotenv.2021.148001,CHQ|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.51,0.51,0.462621,0.462621
10.1016/j.scitotenv.2021.148001,CHH|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.55,0.55,0.498905,0.498905
10.1016/j.scitotenv.2021.148001,ZHB|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.6,0.6,0.54426,0.54426
10.1016/j.scitotenv.2021.148001,DAS|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.605,0.605,0.5487955,0.5487955
10.1016/j.scitotenv.2021.148001,XHS|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.63,0.63,0.571473,0.571473
10.1016/j.scitotenv.2021.148001,HNZ|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.75,0.75,0.680325,0.680325
10.1016/j.scitotenv.2021.148001,TCH|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.56,0.56,0.507976,0.507976
10.1016/j.scitotenv.2021.148001,WHH|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.6,0.6,0.54426,0.54426
10.1016/j.scitotenv.2021.148001,Spr|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.39,0.39,0.353769,0.353769
10.1016/j.scitotenv.2021.148001,Sum|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.36,0.36,0.326556,0.326556
10.1016/j.scitotenv.2021.148001,Aut|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.75,0.75,0.680325,0.680325
10.1016/j.scitotenv.2021.148001,Win|10.1016/j.scitotenv.2021.148001,N/A,Fiber,Fiber,0.9071,drinkingwater,0.54,0.54,0.489834,0.489834
10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,37.1,48.23,1.113,1.4469
10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,705,916.5,21.15,27.495
10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,404,525.2,12.12,15.756
