source,material,n,density,lower_conf,upper_conf
polymerdatabase.com,Poly(N-tert-butyl acrylamide),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(N-phenyl acrylamide),N/A,1.15,1.128296133,1.171703867
polymerdatabase.com,Poly(N-sec-butyl acrylamide),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(acrylic acid),N/A,1.41,1.388296133,1.431703867
polymerdatabase.com,Poly(benzyl acrylate),N/A,1.15,1.128296133,1.171703867
polymerdatabase.com,Poly(butyl acrylate),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(4-chlorophenyl acrylate),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(2-cyanoethyl acrylate),N/A,1.4,1.378296133,1.421703867
polymerdatabase.com,Poly(cyanomethyl acrylate),N/A,1.35,1.328296133,1.371703867
polymerdatabase.com,Poly(cyclohexyl acrylate),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(ethyl acrylate),N/A,1.12,1.098296133,1.141703867
polymerdatabase.com,Poly(2-ethylhexyl acrylate),N/A,0.96,0.938296133,0.981703867
polymerdatabase.com,Poly(hexyl acrylate),N/A,1.03,1.008296133,1.051703867
polymerdatabase.com,Poly(isobutyl acrylate),N/A,1.07,1.048296133,1.091703867
polymerdatabase.com,Poly(isopropyl acrylate),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(methyl acrylate),N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,Poly(octyl acrylate),N/A,0.98,0.958296133,1.001703867
polymerdatabase.com,Poly(propyl acrylate),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(sec-butyl acrylate),N/A,1.05,1.028296133,1.071703867
polymerdatabase.com,Poly(stearyl acrylate),N/A,0.94,0.918296133,0.961703867
polymerdatabase.com,Poly(tert-butyl acrylate),N/A,1,0.978296133,1.021703867
polymerdatabase.com,"Poly(2,2,3,3-Tetrafluoropropyl acrylate)",N/A,1.52,1.498296133,1.541703867
polymerdatabase.com,Poly(acrylonitrile),N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,Poly(methacrylonitrile),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(butylene adipate),N/A,1.12,1.098296133,1.141703867
polymerdatabase.com,Poly(ethylene adipate),N/A,1.22,1.198296133,1.241703867
polymerdatabase.com,Poly(propylene adipate),N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,Poly(butylene),N/A,0.859,0.837296133,0.880703867
