,Min,Max,Value,Test Name,Comment,ID,density,polymer
31669,NA,NA,1.06,ISO 1183,NA,38759,1.06,ABS
31670,NA,NA,1.07,NA,NA,38760,1.07,Nylon 66
31671,NA,NA,1.19,NA,NA,38761,1.19,Silicone
31672,NA,NA,1.64,ISO 1183,NA,38762,1.64,Polybutylene Terephthalate
31673,NA,NA,1.11,ASTM D792,NA,38763,1.11,PP
31674,NA,NA,1.05,NA,NA,38764,1.05,AcrylicCyanoacrylate Adhesive
31675,NA,NA,1.5,ASTM D 792,NA,38766,1.5,Polybutylene Terephthalate
31676,NA,NA,1.37,ASTM D792,NA,38767,1.37,Polybutylene Terephthalate
31677,NA,NA,0.99,ISO R1183,NA,38768,0.99,Thermoplastic Elastomers
31678,NA,NA,1.05,NA,NA,38769,1.05,AcrylicCyanoacrylate Adhesive
31679,NA,NA,1.09,NA,NA,38770,1.09,Nylon 66
31680,NA,NA,1.76,ASTM D 792,NA,38771,1.76,PVDF
31681,NA,NA,1.27,ASTM D792,NA,38776,1.27,ABS
31682,NA,NA,1.27,ASTM D792,NA,38776,1.27,PC
31683,NA,NA,0.918,ISO 1183,NA,38777,0.918,LLDPE
31684,NA,NA,0.895,ASTM D4883,NA,38778,0.895,PP
31685,NA,NA,0.9,ASTM D792 & ISO 1183,NA,38779,0.9,PP
31686,NA,NA,1.19,NA,NA,38780,1.19,Vinyl (PVC)
31687,NA,NA,1.24,ASTM D792,NA,38781,1.24,Vinyl (PVC)
31688,NA,NA,1.15,ISO 1183,NA,38782,1.15,PC
31689,NA,NA,1.09,ISO 1183-87,NA,38783,1.09,Nylon 66
31690,1.24,1.28,NA,ASTM D-792,NA,38784,1.26,Vinyl (PVC)
31691,1.31,1.35,NA,ASTM D792,NA,38785,1.33,Vinyl (PVC)
31692,NA,NA,1.12,ASTM D792,NA,38787,1.12,Thermoplastic Elastomers
31693,NA,NA,1.15,ASTM D792,NA,38788,1.15,Thermoplastic Elastomers
31694,NA,NA,1.32,ASTM D 792,NA,38790,1.32,Nylon 66
31695,NA,NA,1.12,ASTM D792,NA,38791,1.12,Nylon 6
31696,NA,NA,1.41,ASTM D792,NA,38792,1.41,Polyetheretherketone
