Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns),Min Concentration (microns3/volume),Concentration (microns3/volume),Max Concentration (microns3/volume),Min Concentration (mg/volume),Concentration (mg/volume),Max Concentration (mg/volume),Alpha,Correction Factor,Corrected Concentration (particles/volume),Max Corrected Concentration (particles/volume),Min Corrected Concentration (particles/volume)
8.00E-04,doi.org/10.1021/acs.est.9b03850 | 1.1,freshwatersurface,355,5000,12041.34356,196831.8097,710293.0694,1.10E-05,0.000238518,0.001114618,2.64,15420.02118,12.33601694,13.07757552,11.63661726
0,doi.org/10.1021/es5036317|1,freshwatersurface,300,5000,0,0,0,0,0,0,2.64,11662.85176,0,0,0
0,doi.org/10.1021/es5036317|2.1,freshwatersurface,300,5000,0,0,0,0,0,0,2.64,11662.85176,0,0,0
0,doi.org/10.1021/es5036317|4.1,freshwatersurface,300,5000,0,0,0,0,0,0,2.64,11662.85176,0,0,0
0,doi.org/10.1021/es5036317|3.1,freshwatersurface,300,5000,0,0,0,0,0,0,2.64,11662.85176,0,0,0
0.00066086,doi.org/10.1021/es5036317|2.2,freshwatersurface,300,5000,7559.515415,118910.6073,428143.001,6.93E-06,0.000143824,0.000669563,2.64,11662.85176,7.707512217,8.157646131,7.28227466
0.000617447,doi.org/10.1021/es5036317|4.2,freshwatersurface,300,5000,7062.918189,111099.1704,400017.5703,6.47E-06,0.000134376,0.000625578,2.64,11662.85176,7.201192833,7.621756697,6.803889843
0.000546067,doi.org/10.1021/es5036317|3.4,freshwatersurface,300,5000,6246.409079,98255.54367,353773.5135,5.72E-06,0.000118841,0.000553258,2.64,11662.85176,6.368698475,6.740643026,6.017325722
0.000398547,doi.org/10.1021/es5036317|1.4,freshwatersurface,300,5000,4558.941667,71711.80855,258201.5988,4.18E-06,8.67E-05,0.000403795,2.64,11662.85176,4.648194582,4.919658313,4.391745179
0.00036944,doi.org/10.1021/es5036317|2.4,freshwatersurface,300,5000,4225.98943,66474.49498,239344.4153,3.87E-06,8.04E-05,0.000374305,2.64,11662.85176,4.308723956,4.560361932,4.071003768
3.69E-05,doi.org/10.1021/es5036317|4.5,freshwatersurface,300,5000,422.0956312,6639.532441,23905.9358,3.87E-07,8.03E-06,3.74E-05,2.64,11662.85176,0.43035923,0.455493058,0.406615524
0.000363593,doi.org/10.1021/es5036317|4.3,freshwatersurface,300,5000,4159.106147,65422.42598,235556.3934,3.81E-06,7.91E-05,0.000368381,2.64,11662.85176,4.240531262,4.48818665,4.00657339
0.000249433,doi.org/10.1021/es5036317|3.2,freshwatersurface,300,5000,2853.240639,44881.26004,161596.9996,2.61E-06,5.43E-05,0.000252718,2.64,11662.85176,2.909100104,3.078997287,2.748599726
0.000240087,doi.org/10.1021/es5036317|2.5,freshwatersurface,300,5000,2746.332623,43199.60502,155542.1249,2.52E-06,5.23E-05,0.000243249,2.64,11662.85176,2.800099092,2.963630401,2.645612499
0.00198618,doi.org/10.1021/es5036317|1.3,freshwatersurface,300,5000,22719.72631,357379.5811,1286761.289,2.08E-05,0.000432254,0.002012336,2.64,11662.85176,23.16452292,24.51737674,21.88649379
0.00173202,doi.org/10.1021/es5036317|2.3,freshwatersurface,300,5000,19812.41396,311647.7772,1122101.868,1.82E-05,0.000376941,0.001754829,2.64,11662.85176,20.20029251,21.38002943,19.0858054
