sample_ID,morphology,morphology_raw,morph_ratio
IB|101119.10.3389/fchem.2018.00407,Foam,Foam,0.05
BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,Foam,Foam,0.05
BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,Foam,Foam,0.05
Oct0719|10.3389/fchem.2018.00407,Foam,Foam,0.05
BN7141A04117|10.3389/fchem.2018.00407,Foam,Foam,0.05
HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,Foam,Foam,0.05
MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,Foam,Foam,0.05
SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,Foam,Foam,0.05
Oct 0118NHBRB|10.3389/fchem.2018.00407,Foam,Foam,0.05
P18NOV17CG3|10.3389/fchem.2018.00407,Foam,Foam,0.05
17.11.18|10.3389/fchem.2018.00407,Foam,Foam,0.05
14.10.18|10.3389/fchem.2018.00407,Foam,Foam,0.05
09.08.18|10.3389/fchem.2018.00407,Foam,Foam,0.05
PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,Foam,Foam,0.05
PRD 05 24 17 11:29|10.3389/fchem.2018.00407,Foam,Foam,0.05
07.142018 2|10.3389/fchem.2018.00407,Foam,Foam,0.05
NV No. AC-51-07269|10.3389/fchem.2018.00407,Foam,Foam,0.05
FAB: 211017 09:06SP|10.3389/fchem.2018.00407,Foam,Foam,0.05
FAB: 160817 15:05SP|10.3389/fchem.2018.00407,Foam,Foam,0.05
FAB: 091217 16:53SP|10.3389/fchem.2018.00407,Foam,Foam,0.05
100517 278WF246|10.3389/fchem.2018.00407,Foam,Foam,0.05
P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,Foam,Foam,0.05
730805210A 23:28|10.3389/fchem.2018.00407,Foam,Foam,0.05
BBE 11.2018 10|10.3389/fchem.2018.00407,Foam,Foam,0.05
20171102 1214JN|10.3389/fchem.2018.00407,Foam,Foam,0.05
20171021 3214GH|10.3389/fchem.2018.00407,Foam,Foam,0.05
20171103 2106WF|10.3389/fchem.2018.00407,Foam,Foam,0.05
TCQS|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
SHN|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
CHQ|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
CHH|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
ZHB|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
DAS|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
XHS|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
HNZ|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
TCH|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
WHH|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
Spr|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
Sum|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
Aut|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
Win|10.1016/j.scitotenv.2021.148001,Foam,Foam,8.00E-04
Finished|10.1016/j.scitotenv.2019.134520,Sphere,Sphere,0.088172043
TCQS|10.1016/j.scitotenv.2021.148001,Film,Sheet,0.0113
SHN|10.1016/j.scitotenv.2021.148001,Film,Sheet,0.0113
