Concentration (particles/volume),Sample ID,Study Media,Min Length (microns),Max Length (microns)
0.001,doi.org/10.1021/acs.est.9b03850 | 21.2,freshwatersurface,355,5000
0.001,doi.org/10.1021/acs.est.9b03850 | 21.3,freshwatersurface,355,5000
8.00E-05,doi.org/10.1021/acsestwater.1c00072 | 14,freshwatersurface,500,5000
1.00E-04,doi.org/10.1021/acsestwater.1c00072 | 15,freshwatersurface,500,5000
1.00E-05,doi.org/10.1021/acsestwater.1c00072 | 16,freshwatersurface,500,5000
5.00E-05,doi.org/10.1021/acsestwater.1c00072 | 17,freshwatersurface,500,5000
1.00E-05,doi.org/10.1021/acsestwater.1c00072 | 18,freshwatersurface,500,5000
0.00053,doi.org/10.1021/acsestwater.1c00072 | 19,freshwatersurface,500,5000
7.00E-04,doi.org/10.1021/acs.est.9b03850 | 4.1,freshwatersurface,355,5000
7.00E-04,doi.org/10.1021/acs.est.9b03850 | 4.2,freshwatersurface,355,5000
7.00E-04,doi.org/10.1021/acs.est.9b03850 | 4.3,freshwatersurface,355,5000
7.00E-04,doi.org/10.1021/acs.est.9b03850 | 4.4,freshwatersurface,355,5000
6.00E-04,doi.org/10.1021/acs.est.9b03850 | 5.1,freshwatersurface,355,5000
6.00E-04,doi.org/10.1021/acs.est.9b03850 | 5.2,freshwatersurface,355,5000
6.00E-04,doi.org/10.1021/acs.est.9b03850 | 5.3,freshwatersurface,355,5000
6.00E-04,doi.org/10.1021/acs.est.9b03850 | 5.4,freshwatersurface,355,5000
5.00E-04,doi.org/10.1021/acs.est.9b03850 | 17.1,freshwatersurface,355,5000
5.00E-04,doi.org/10.1021/acs.est.9b03850 | 17.2,freshwatersurface,355,5000
5.00E-04,doi.org/10.1021/acs.est.9b03850 | 17.3,freshwatersurface,355,5000
5.00E-04,doi.org/10.1021/acs.est.9b03850 | 17.4,freshwatersurface,355,5000
3.00E-04,doi.org/10.1021/acs.est.9b03850 | 8.1,freshwatersurface,355,5000
3.00E-04,doi.org/10.1021/acs.est.9b03850 | 8.2,freshwatersurface,355,5000
3.00E-04,doi.org/10.1021/acs.est.9b03850 | 8.3,freshwatersurface,355,5000
226,doi.org/10.1021/acs.est.1c03019 | fc_0927a,freshwatersurface,335,5000
196,doi.org/10.1021/acs.est.1c03019 | sm_0928a,freshwatersurface,335,5000
196,doi.org/10.1021/acs.est.1c03019 | sm_1012a,freshwatersurface,335,5000
185,doi.org/10.1021/acs.est.1c03019 | ec_1117a,freshwatersurface,335,5000
119,doi.org/10.1021/acs.est.1c03019 | fc_1012a,freshwatersurface,335,5000
62.5,doi.org/10.1021/acs.est.1c03019 | cc_1025a,freshwatersurface,335,5000
40.5,doi.org/10.1021/acs.est.1c03019 | fc_1108a,freshwatersurface,335,5000
23.2,doi.org/10.1021/acs.est.1c03019 | ec_1108a,freshwatersurface,335,5000
0.0197,doi.org/10.1021/acs.est.1c03019 | ec_1108b,freshwatersurface,335,5000
0.0162,doi.org/10.1021/acs.est.1c03019 | ec_1117b,freshwatersurface,335,5000
0.0153,doi.org/10.1021/acs.est.1c03019 | fc_1012b,freshwatersurface,335,5000
0.0148,doi.org/10.1021/acs.est.1c03019 | fc_0927b,freshwatersurface,335,5000
0.0117,doi.org/10.1021/acs.est.1c03019 | sm_0928b,freshwatersurface,335,5000
0.0098,doi.org/10.1021/acs.est.1c03019 | sm_1012b,freshwatersurface,335,5000
0.0032,doi.org/10.1021/acs.est.1c03019 | cc_1025b,freshwatersurface,335,5000
0.0032,doi.org/10.1021/acs.est.1c03019 | fc_1108b,freshwatersurface,335,5000
0.00065,doi.org/10.1021/acsestwater.1c00072 | 51,freshwatersurface,500,5000
0.00232,doi.org/10.1021/acsestwater.1c00072 | 52,freshwatersurface,500,5000
0.00175,doi.org/10.1021/acsestwater.1c00072 | 53,freshwatersurface,500,5000
0.00058,doi.org/10.1021/acsestwater.1c00072 | 54,freshwatersurface,500,5000
0.01793,downstream|doi.org/10.1021/es503610r,freshwatersurface,330,5000
0.00194,upstream|doi.org/10.1021/es503610r,freshwatersurface,330,5000
NA,https://digitalcommons.usf.edu/etd/8785|June_Bottom_Thalweg,freshwatersurface,500,5000
NA,https://digitalcommons.usf.edu/etd/8785|July_Bottom_Thalweg,freshwatersurface,500,5000
NA,https://digitalcommons.usf.edu/etd/8785|August_Bottom_Thalweg,freshwatersurface,500,5000
5.405,Grab7A|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
3.198,Grab22|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
2.137,Grab21|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.714,Grab23|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.709,Grab19|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.117,Grab26|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.1116,Grab1|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.108,Grab24|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.09,Grab25|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.075,Grab17|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
1.046,Grab9|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
0.632,Grab10|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
0.563,Grab7B|doi.org/10.1016/j.envpol.2018.06.033,freshwatersurface,0.45,5000
258,doi.org/10.1021/acs.est.9b04896 | 426,freshwatersurface,63,5000
106,doi.org/10.1021/acs.est.9b04896 | 415,freshwatersurface,63,5000
80,doi.org/10.1021/acs.est.9b04896 | 428,freshwatersurface,63,5000
54,doi.org/10.1021/acs.est.9b04896 | 427,freshwatersurface,63,5000
50,doi.org/10.1021/acs.est.9b04896 | 421,freshwatersurface,63,5000
38,doi.org/10.1021/acs.est.9b04896 | 396,freshwatersurface,63,5000
36,doi.org/10.1021/acs.est.9b04896 | 413,freshwatersurface,63,5000
24,doi.org/10.1021/acs.est.9b04896 | 417,freshwatersurface,63,5000
24,doi.org/10.1021/acs.est.9b04896 | 412,freshwatersurface,63,5000
24,doi.org/10.1021/acs.est.9b04896 | 422,freshwatersurface,63,5000
22,doi.org/10.1021/acs.est.9b04896 | 393,freshwatersurface,63,5000
22,doi.org/10.1021/acs.est.9b04896 | 418,freshwatersurface,63,5000
20,doi.org/10.1021/acs.est.9b04896 | 391,freshwatersurface,63,5000
16,doi.org/10.1021/acs.est.9b04896 | 409,freshwatersurface,63,5000
16,doi.org/10.1021/acs.est.9b04896 | 419,freshwatersurface,63,5000
16,doi.org/10.1021/acs.est.9b04896 | 390,freshwatersurface,63,5000
14,doi.org/10.1021/acs.est.9b04896 | 395,freshwatersurface,63,5000
14,doi.org/10.1021/acs.est.9b04896 | 404,freshwatersurface,63,5000
14,doi.org/10.1021/acs.est.9b04896 | 425,freshwatersurface,63,5000
12,doi.org/10.1021/acs.est.9b04896 | 407,freshwatersurface,63,5000
12,doi.org/10.1021/acs.est.9b04896 | 399,freshwatersurface,63,5000
12,doi.org/10.1021/acs.est.9b04896 | 402,freshwatersurface,63,5000
10,doi.org/10.1021/acs.est.9b04896 | 388,freshwatersurface,63,5000
8,doi.org/10.1021/acs.est.9b04896 | 420,freshwatersurface,63,5000
6,doi.org/10.1021/acs.est.9b04896 | 386,freshwatersurface,63,5000
6,doi.org/10.1021/acs.est.9b04896 | 389,freshwatersurface,63,5000
6,doi.org/10.1021/acs.est.9b04896 | 406,freshwatersurface,63,5000
6,doi.org/10.1021/acs.est.9b04896 | 411,freshwatersurface,63,5000
6,doi.org/10.1021/acs.est.9b04896 | 400,freshwatersurface,63,5000
4,doi.org/10.1021/acs.est.9b04896 | 410,freshwatersurface,63,5000
4,doi.org/10.1021/acs.est.9b04896 | 424,freshwatersurface,63,5000
4,doi.org/10.1021/acs.est.9b04896 | 423,freshwatersurface,63,5000
2,doi.org/10.1021/acs.est.9b04896 | 401,freshwatersurface,63,5000
0,doi.org/10.1021/acs.est.9b04896 | 408,freshwatersurface,63,5000
0.00095,Nelson|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00864,RMYC3|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00862,Redboine1|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00803,Redboine3|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00713,Redboine2|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
7.00E-04,Emerson|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00675,RMYC1|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.01769,Forks1|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00169,Forks2|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00153,Courchaine|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00094,RMYC2|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
0.00131,Forks3|doi.org/10.5203/pmuser.201730578,freshwatersurface,335,5000
1.00E-04,doi.org/10.1021/acsestwater.1c00072 | 1,freshwatersurface,500,5000
7.00E-05,doi.org/10.1021/acsestwater.1c00072 | 2,freshwatersurface,500,5000
2.00E-05,doi.org/10.1021/acsestwater.1c00072 | 3,freshwatersurface,500,5000
2.00E-05,doi.org/10.1021/acsestwater.1c00072 | 4,freshwatersurface,500,5000
1.00E-05,doi.org/10.1021/acsestwater.1c00072 | 5,freshwatersurface,500,5000
2.00E-05,doi.org/10.1021/acsestwater.1c00072 | 6,freshwatersurface,500,5000
2.00E-05,doi.org/10.1021/acsestwater.1c00072 | 7,freshwatersurface,500,5000
1.00E-05,doi.org/10.1021/acsestwater.1c00072 | 8,freshwatersurface,500,5000
1.00E-05,doi.org/10.1021/acsestwater.1c00072 | 9,freshwatersurface,500,5000
0,doi.org/10.1021/acsestwater.1c00072 | 10,freshwatersurface,500,5000
1.00E-05,doi.org/10.1021/acsestwater.1c00072 | 11,freshwatersurface,500,5000
3.00E-05,doi.org/10.1021/acsestwater.1c00072 | 12,freshwatersurface,500,5000
0.00018,doi.org/10.1021/acsestwater.1c00072 | 13,freshwatersurface,500,5000
0.00886,doi.org/10.1002/ecs2.1556|20,freshwatersurface,0.7,5000
0.00057,doi.org/10.1002/ecs2.1556|1,freshwatersurface,0.7,5000
0.00117,doi.org/10.1002/ecs2.1556|3,freshwatersurface,0.7,5000
0.00124,doi.org/10.1002/ecs2.1556|5,freshwatersurface,0.7,5000
